XGBoost,LGBMRegressor,RandomForestRegressor,LinearRegression,SVR,Ridge,BayesianRidge,Lasso,ElasticNet,StackingRegressor,"ARIMA(1,0,1)","SARIMAX(1,0,1,8)",Prophet,Date
1962.6619,2019.2263956253475,1971.64,1914.234251837052,1979.44920447981,1997.3018979249523,1911.4007483263456,1948.1054850449607,1972.0538096090609,1922.549427906972,2338.16347509396,2230.91084100721,2203.66593570279,2024-08-21
1595.8114,1518.309401469466,1558.06,1457.3785726088097,1507.8347178800034,1613.0798228551848,1481.7543602232115,1488.0367698885204,1493.7929017482777,1488.6712924695253,2384.08682936713,2112.011130000008,2185.532021476233,2024-08-22
1681.6041,1882.5101509655767,1794.12,1901.9515491939048,1917.0969498343768,1872.193075422212,1885.1110171405785,1933.88265990695,1949.1063186804508,1864.7482754417847,2344.070238985914,2165.9986207488373,2286.862359585327,2024-08-23
2099.0432,2463.6110810462887,2204.02,2325.694459520837,2270.8733428674755,1987.0645362742216,2325.999885284539,2400.9549552332,2372.3698872117684,2307.6397367994523,2378.9398065748296,2355.389420410065,2419.177421104437,2024-08-24
2720.302,2380.166210744469,2664.16,2767.2204654810503,2865.5514573012483,3076.846155916274,2828.8311144540085,2779.15731714452,2835.4473642397897,2757.297912953394,2348.555240267334,2423.8244211504693,2364.2871146176103,2024-08-25
1909.37,2068.432866292377,2093.86,2203.6119730597065,2333.586527880748,2375.490331903902,2245.171512810488,2287.084947981989,2290.680561334033,2180.400716734078,2375.031676126208,2267.8718870534467,2372.0711208504067,2024-08-26
1561.2665,1697.065274411173,1614.85,1643.9291996630486,1651.5928979569585,1618.4432651938578,1612.4670499670765,1697.9361230280315,1672.7392699878076,1617.0515069123535,2351.960698291776,2406.849920289881,2409.469630457342,2024-08-27
2689.6086,2902.6641809481143,2737.74,2716.513673175215,2723.259015133605,2677.2565952493715,2694.893913775224,2742.358356268109,2748.7674436471484,2704.1104231706777,2372.064235681551,2394.2761247118383,2492.8162109590417,2024-08-28
1792.8112,1835.185767405947,1794.05,1923.904729784266,1914.9791100816803,1818.0810647883293,1907.9298770214173,1963.410691871456,1967.542301912028,1893.325891950984,2354.54645995126,2344.110180771598,2464.5138392030144,2024-08-29
3252.8357,3331.359108383405,3146.75,3190.699722705907,3159.6661292077047,3192.8683211525786,3237.9661987120053,3180.9078436939826,3191.5619081546747,3193.9897978469426,2369.8110604336034,2060.7305878205125,2552.5049864426182,2024-08-30
2471.6753,2442.9655121711507,2288.96,2274.177078751763,2248.492548428942,2010.959367915544,2242.8529960986066,2353.358275822247,2322.447510320369,2266.814421255494,2356.509826791101,2264.2107763270624,2668.723899245632,2024-08-31
2311.6106,2185.266232814592,2236.38,2066.2363747171216,2094.577146694996,2053.1260122810345,2051.145699644985,2097.720318502668,2127.031913762734,2100.9383858866163,2368.100226200315,2322.901883746575,2595.4343598114083,2024-09-01
2413.6887,2491.852825173072,2332.76,2438.0634649379617,2381.6746153985155,2131.617647169642,2423.386796110656,2477.3599161021384,2450.70135817389,2412.2211118817245,2358.00060972295,2505.687256043102,2582.99956913956,2024-09-02
1050.7289,1223.2149426715891,1251.73,1231.2923348011898,1085.746092430316,1281.864152787037,1208.3457398444366,1115.3964163246208,1098.8747131641614,1209.9781030291854,2366.801191082448,2364.133513953355,2598.861987343272,2024-09-03
2414.288,2381.4897395582325,2457.485,2321.8998812475143,2422.248637400568,2496.040895275408,2284.951082191795,2367.6088513716995,2408.259419256832,2321.6647549367544,2359.132560056832,2421.588584396488,2659.8651001727785,2024-09-04
1932.1313,2029.8857809371527,2129.03,2153.795302272409,2190.919937216677,2113.88988566414,2145.8121833795226,2214.736124808817,2210.4995658376297,2138.0788856854365,2365.8148347162864,2351.494134061501,2608.918393616667,2024-09-05
3028.8108,2865.3916187356435,2971.24,2831.4346609334475,2798.8013867735867,2786.853342739154,2802.61811510056,2812.6547671277067,2821.094953478378,2854.944445948641,2359.992049074985,2357.802557023409,2674.456666032397,2024-09-06
2449.824,2525.605490937045,2431.48,2424.311333136144,2389.456086079125,2199.462322271828,2408.3518197254043,2461.923510348462,2456.861916327694,2413.9443060693857,2365.0658950858747,2054.52912088374,2768.882054788528,2024-09-07
2812.8281,2782.6126826545533,2807.46,2682.3568376127564,2634.642392385286,2505.473400525238,2672.727718184038,2692.651707445263,2679.494637905599,2704.094043673587,2360.6446584256046,2276.0904524560374,2674.892280923299,2024-09-08
1425.5308,1311.8445687997755,1510.62,1379.9832256579136,1424.7750351573343,1520.4171730998737,1392.4999179507836,1427.1284840244753,1405.0866199991062,1391.8230935999222,2364.4972258003663,2318.9734309261785,2643.241956452792,2024-09-09
2263.0122,2163.952793921085,2174.48,1944.0101552591464,2000.9511770824904,1950.9173307408985,1927.419686573429,2006.9781654528904,2005.339232021753,1995.600207531024,2361.140184203735,2515.5894816277546,2641.714966642005,2024-09-10
3837.7615,3787.073426519067,3640.16,3311.6092565941813,3405.99795164587,3516.602581012952,3331.759120889541,3439.58355496742,3436.9306830351147,3383.7109869207443,2364.0654356491323,2375.7772735245435,2687.440047225892,2024-09-11
2659.1997,2665.3058645222536,2690.75,2533.326115389356,2540.5071326284674,2468.089372497456,2519.843564789217,2562.4228336946458,2567.228375689072,2565.2085764287563,2361.516436546057,2423.372140874163,2623.550959082488,2024-09-12
3518.8232,3284.8478102512377,3207.62,3069.4133734590287,2980.9376247436744,2826.832382165886,3097.410571465906,3073.7194639760687,3055.208106409797,3108.301137238992,2363.7375777193065,2346.3205668120822,2678.64247757892,2024-09-13
2527.5713,2464.340382595174,2391.56,2130.33711930308,2148.506409251132,2075.060599629194,2114.052704463791,2165.3482668637294,2190.1930248965737,2179.791971495657,2361.80212466028,2359.459564911176,2765.2106267674344,2024-09-14
2022.809,1966.9336755084944,2134.125,1992.447862411146,2100.475570193958,2216.7047145537103,1971.8984767658308,2026.5313304825693,2088.50587820742,2002.4885594525056,2363.488635445281,2053.779968231903,2665.9806796012604,2024-09-15
2719.3176,2653.8175039029925,2644.11,2533.348234754164,2542.5378070916054,2482.423266032665,2515.118075566796,2553.134348092139,2556.2143957791195,2549.439895424565,2362.019047425741,2277.5282141833936,2631.669750839908,2024-09-16
1586.0266,1442.907442347307,1564.78,1451.2934930351946,1482.3006623575932,1569.3817019746548,1457.3833761010349,1478.2230160058357,1470.2751559652347,1478.749257324447,2363.2996137680266,2318.4991992868145,2629.961942094693,2024-09-17
1205.5062,1218.2523173928353,1050.82,1133.5555305286928,1048.4662998239512,1194.7994521796068,1094.523579551522,1145.203955401853,1059.541786925879,1075.4320574183555,2362.183756714764,2516.7880706297883,2677.828072779251,2024-09-18
2227.2427,2043.5556642453537,2195.77,2313.21316546687,2382.905287853908,2427.7416566095885,2317.956357629494,2341.5548697317363,2363.182659767668,2275.8355224229854,2363.156089753827,2377.1865010450792,2618.1912821689834,2024-09-19
3132.7786,3160.3434414582607,3113.93,2889.038917163499,2909.103733103723,2798.463002557636,2896.5902985802386,2977.3341825538155,2970.4707638872187,2926.556517213864,2362.308820351273,2423.588776712144,2679.3895744614283,2024-09-20
2558.2324,2469.042846101947,2550.0,2397.537776291295,2400.807222445961,2261.320069218726,2398.046915354269,2457.5530653113537,2452.20753149374,2418.1267349716227,2363.0471120802017,2345.695738442208,2773.623567262634,2024-09-21
2399.9883,2267.1830097849274,2353.77,2052.1265584253565,2110.637335164473,2114.6815600394884,2047.764986478572,2097.983443728237,2127.124584651074,2113.6941110721714,2362.4037810743125,2359.660894631379,2683.292774728478,2024-09-22
2442.51,2333.113806241316,2481.99,2194.746026666721,2265.280976147857,2235.5826260533468,2182.048094347089,2256.702345747201,2277.199443503206,2248.106586307238,2362.9643654164115,2053.6902727814872,2658.76704648546,2024-09-23
3121.013,3615.730793275079,3224.77,3590.323340470777,3410.149069483858,3516.044705342039,3638.371871659272,3441.65787627438,3437.5799938845275,3509.629260773833,2362.4758846783,2277.703026013863,2667.3709056305206,2024-09-24
2423.8066,2285.915746584344,2426.8746666666666,2405.8553143061245,2426.700342797209,2366.97413474648,2391.994179485051,2436.991247847987,2440.4571280934056,2397.245951346798,2362.90153593822,2318.442755470539,2725.712597960952,2024-09-25
1918.7627,1871.7489009403128,2064.42,2255.323910960069,2286.2390865948987,2128.1704438762963,2271.7267191319825,2341.962590323241,2360.6722972221146,2190.9234841861444,2362.530632889367,2516.9339544523286,2676.3589158245013,2024-09-26
2428.8533,2531.3399506082774,2435.45,2548.1897356026784,2540.1683745677587,2451.9926056286417,2535.7950962935674,2570.944094275807,2562.346351123548,2522.154327833425,2362.853829563739,2377.3578615659144,2747.306651668743,2024-09-27
2176.1328,2230.31144745798,2120.03,1918.2380316594983,1955.1496838149617,1919.20601563164,1906.0055804877616,1964.1046189048309,1978.563363065905,1958.9892864361552,2362.5722031639343,2423.615893226214,2850.438734963221,2024-09-28
2667.0144,2589.955191342445,2713.41,2391.042768865298,2519.2941574547444,2466.277500870196,2375.460889600031,2538.3783261177823,2560.829141894508,2451.438541951158,2362.817606150277,2345.6210798206425,2767.868191768538,2024-09-29
1518.124,1481.2478021122552,1601.98,1724.856030331635,1729.2308135447097,1760.5634848994362,1708.3626674010543,1714.194061814473,1735.413132483098,1690.0586795073616,2362.6037674414497,2359.686159805665,2749.7163753097043,2024-09-30
3473.5347,3671.249592020528,3348.06,3716.8007908507375,3443.4676926280376,3469.7715505342626,3797.302288285453,3507.717006569509,3489.356322675316,3651.7891915133127,2362.7901017402883,2053.6803384264967,2763.1030611276906,2024-10-01
3119.5793,3163.0881319420523,3202.25,3198.870572782356,3048.138649181464,2971.168596816484,3190.5073477997776,3112.3504352100745,3095.200787745857,3191.684214231084,2362.627734173097,2277.725083784453,2824.480095563673,2024-10-02
2825.7168,2359.706371892186,2749.93,2744.814220692248,2780.4974829480057,2807.11848913174,2702.134194867867,2775.019606975154,2792.8058332314945,2725.1428159581906,2362.769217662932,2318.436842836289,2776.309566527338,2024-10-03
1670.7571,1681.557302946542,1868.83,1699.1116104894793,1641.6706438360272,1466.4784655136548,1647.4443007160646,1800.805675890877,1734.587354630322,1685.8402882448784,2362.6459320940085,2516.952513315411,2846.5372880579152,2024-10-04
2568.1987,2502.136730598438,2478.54,2427.7524120160097,2398.636658667121,2195.394538922107,2433.906957361741,2478.4792902443587,2480.8065778267564,2432.3189193214102,2362.753360399053,2377.379501803531,2947.049620812021,2024-10-05
2510.4465,2685.5829406992148,2568.29,2760.0644481291765,2683.3732174490583,2391.509354077633,2829.795685086868,2822.33610105285,2793.2522144821564,2736.9760739573217,2362.6597497613643,2423.6200871176093,2860.016768613618,2024-10-06
1725.5127,1596.734624846421,1786.85,1759.7101976412057,1781.1868166122588,1841.996779420739,1743.9854047128304,1740.1011896711702,1793.4810886117696,1742.8494845410492,2362.7413199907824,2345.6129639761502,2835.669032320338,2024-10-07
1527.0005,1620.5651424794914,1643.81,1669.2514028262565,1702.7134510125036,1659.6071877676673,1640.7379512152477,1746.0234686955612,1717.4590602894232,1652.6334413889676,2362.670241505564,2359.6901297128093,2841.2836783203084,2024-10-08
1862.4912,1676.2059358115812,1809.44,1652.0708868134689,1680.2431664085018,1751.1872170285258,1651.0263575598426,1649.8693949407696,1674.7266961406976,1671.3239274084624,2362.7321777180405,2053.680050917926,2893.514203160865,2024-10-09
2289.71,2166.636171862196,2297.905666666667,2329.532677135136,2359.958129330073,2301.826793865353,2318.5132514359148,2370.583855775317,2377.4459096189657,2322.626666133332,2362.678207878866,2277.7286656914107,2835.0630824364785,2024-10-10
3065.556,2758.788531614048,2912.61,2591.1753334765126,2580.724706380163,2398.139973355762,2614.073628612627,2660.0088579793887,2650.042215981677,2667.7914513151104,2362.725235997377,2318.437041690197,2894.1489379156974,2024-10-11
2208.5227,2086.147159122587,2047.415,1930.874285132347,2002.960559407249,2081.60898180712,1928.478795376788,1950.986515065272,1995.986055763092,1961.3973397794605,2362.68425673999,2516.955671964796,2982.9563071177213,2024-10-12
1819.9355,1600.205671752127,1661.77,1602.0545630651025,1705.0288618546913,1645.5394258068948,1597.1394021234237,1769.795456232413,1724.9282548242302,1607.5573193181642,2362.719965154215,2377.383033112856,2883.971333078044,2024-10-13
2964.1875,3080.805175188388,3006.34,3326.514249608947,3262.119210976642,3537.974895321442,3331.021749108134,3206.1420592578884,3234.727004829164,3234.2970558330426,2362.68884963559,2423.62150825887,2847.7500442361984,2024-10-14
2567.0354,2524.3460278591374,2630.8,3693.862681967744,3440.300939070527,3774.561673554341,3759.641232772386,3400.708683243485,3410.8417215070986,3418.190934165868,2362.7159630070546,2345.612896222413,2841.8970768996564,2024-10-15
2367.795,2262.651893898712,2214.38,2237.427130492587,2227.0575146828783,2073.7172840272533,2220.763529430299,2279.648401605972,2279.882490807917,2237.674772636032,2362.692337017688,2359.691523698504,2883.3868186401096,2024-10-16
1477.9854,1489.5877305679892,1526.13,1630.3248469748337,1636.7252357658,1708.7492805188983,1625.047640169155,1614.6902835087992,1641.8047733921264,1610.162840940906,2362.712924179793,2053.68092993682,2815.2282545913945,2024-10-17
1519.7812,1424.996386168412,1539.41,1442.2843276417225,1463.8294264324943,1630.8732202316437,1471.7781834483571,1409.469058085297,1445.071411407538,1474.5303181095474,2362.6949849842326,2277.730012683815,2865.9246368834733,2024-10-18
1832.305,1675.472494561734,1738.36,1713.9639890952376,1745.2442115817687,1616.772233892493,1664.87183859592,1848.404885084955,1792.9744943504747,1693.326878257862,2362.71061680059,2318.437979469976,2947.916335722367,2024-10-19
1565.2123,1541.5169182506804,1569.51,1677.7140001718258,1679.934676489327,1719.4605966926692,1670.893962603471,1678.3749010653962,1705.131668907581,1650.3408063986806,2362.6969955831946,2516.956967699534,2843.9103482029773,2024-10-20
2460.4692,2635.636981644596,2691.38,2731.839029253424,2647.088562538382,2423.8001796943386,2734.151968890095,2739.647091036768,2702.71912440432,2721.764916948046,2362.7088648093354,2377.3843738884884,2804.643273606399,2024-10-21
1666.0049,1713.1312924777596,1587.63,1550.2042744179205,1566.2689977707344,1605.301445152633,1537.428008606014,1578.4752650455011,1568.656689030021,1558.3243467931677,2362.69852222944,2423.6225937773297,2797.8557238597587,2024-10-22
2375.027,2254.676632498045,2195.805,2078.1258811828984,2135.8449586653155,2137.972730901021,2071.620508436678,2115.7818775134538,2133.91907581168,2098.821852956635,2362.707534523722,2345.613801626684,2840.6102386749258,2024-10-23
2705.2712,2792.1758072607136,2648.13,2576.991493930975,2620.7806244702083,2648.1095630398127,2543.0564979968044,2600.9434731959523,2625.0287078699457,2583.0109120628126,2362.699681410761,2359.692605867848,2775.9540515986077,2024-10-24
2305.2407,2544.16462112752,2520.7,2569.227606294941,2527.8304523695265,2337.362551985761,2559.720403916996,2608.922147116112,2579.7847709138264,2547.3008110045066,2362.70652443888,2053.6819497886004,2832.37786338912,2024-10-25
1160.5378,1370.7289450181577,1403.77,1578.6200878873092,1547.9350018838888,1435.415110369309,1511.7921351388486,1687.9817401998653,1615.8627984216992,1460.4389216608504,2362.7005615762464,2277.7310891046727,2922.258988867676,2024-10-26
1703.0077,1648.6113345532,1626.8,1637.0347920758963,1732.340487105772,1779.998189699468,1668.175946906238,1717.3815438258573,1729.188191526323,1645.3297454061546,2362.705757482235,2318.4390063642413,2828.192332640668,2024-10-27
1045.6812,1074.79452321975,1182.65,1262.1000943102392,1256.4596848080405,1399.9782021845265,1268.9969109180042,1269.670530289405,1239.1197263582349,1238.32219131376,2362.701229885223,2516.958037856135,2800.7559543077195,2024-10-28
2029.9471,2090.3683186814483,2231.4966666666664,2262.372190337948,2299.049537884072,2196.8925769182565,2248.733034671146,2329.535337386892,2309.1793026328373,2234.370399825526,2362.705175132645,2377.385449460467,2807.489117820878,2024-10-29
3001.6777,2881.6106093954086,2835.98,2735.433819820326,2672.4267313885507,2513.3819157845182,2732.4988957282267,2739.245260980872,2719.846191538334,2763.214242033938,2362.7017373317144,2423.6236384436334,2865.2147967381884,2024-10-30
2261.7778,2226.1835065748232,2188.59,2038.4043263374629,2081.668368583545,1996.007931952765,2017.5609725753773,2106.043473703628,2102.2268176798966,2068.0056199230603,2362.7047329550487,2345.614824475858,2816.70786277771,2024-10-31
3779.7498,3865.962248780168,3680.1,4605.390213280861,3909.227700260934,4158.626729325679,4701.018889222981,4006.145018365301,3972.9633280852927,4367.16164502428,2362.702122635445,2359.693650064443,2890.159977340876,2024-11-01
1343.251,1427.7892268202302,1279.43,1430.645897762873,1399.1321859760212,1493.1912514210192,1423.8730490196488,1417.8732893755268,1417.3765499667995,1398.9778383081016,2362.70439720994,2053.682986415572,2997.6294010485717,2024-11-02
3018.998,3033.461975542248,2935.94,3021.031479128234,2878.350024630316,2757.451100041339,3005.660420834882,2949.0425953134527,2925.479137648733,2994.1696134659805,2362.7024151962723,2277.7321325413614,2921.379015015819,2024-11-03
1513.5703,1672.645334138137,1762.24,1543.244986180225,1455.6776074296797,1508.3389030493097,1539.6995025967249,1481.9011980001208,1504.3202155698102,1576.3380357260246,2362.704142278937,2318.440043778376,2911.649146295825,2024-11-04
